VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color,Vehicle URL,Main Image URL,Image URL 2,Image URL 3,Image URL 4,Image URL 5
KNDRMDLH1N5077989,2022,Kia,Sorento Plug In Hybrid,SX Prestige,50694.0,32781,P58950A,,,,,https://www.goodchev.com/used-Renton-2022-Kia-Sorento+Plug+In+Hybrid-SX+Prestige-KNDRMDLH1N5077989,/vehicles/P58950A_1.jpg,,,,
1C6RR7LG4NS204026,2022,RAM,1500 Classic,Warlock,55476.0,30307,P59038,,,,,https://www.goodchev.com/used-Renton-2022-RAM-1500+Classic-Warlock-1C6RR7LG4NS204026,/vehicles/P59038_1.jpg,,,,
1FTEW1E59JKD82307,2018,Ford,F 150,XLT,110878.0,20958,250592A,,,,,https://www.goodchev.com/used-Renton-2018-Ford-F+150-XLT-1FTEW1E59JKD82307,/vehicles/250592A_1.jpg,,,,
1FDWE3FK0NDC12771,2022,Ford,E Series Cutaway,,87360.0,30325,P59042,,,,,https://www.goodchev.com/used-Renton-2022-Ford-E+Series+Cutaway-+-1FDWE3FK0NDC12771,/vehicles/P59042_1.jpg,,,,
WP1AA2A50NLB03883,2022,Porsche,Macan, ,43365.0,42871,P59044,,,,,https://www.goodchev.com/used-Renton-2022-Porsche-Macan-+-WP1AA2A50NLB03883,/vehicles/P59044_1.jpg,,,,
WUACSAFV2J1902017,2018,Audi,TT RS, ,56644.0,47164,250445Y,,,,,https://www.goodchev.com/used-Renton-2018-Audi-TT+RS-+-WUACSAFV2J1902017,/vehicles/250445Y_1.jpg,,,,
1N4BL4CV4MN415254,2021,Nissan,Altima,25 SR,45512.0,22611,P59049Y,,,,,https://www.goodchev.com/used-Renton-2021-Nissan-Altima-25+SR-1N4BL4CV4MN415254,/vehicles/P59049Y_1.jpg,,,,
1GC4K0C89FF533418,2015,Chevrolet,Silverado 3500 HD,LTZ,84570.0,43995,180725B,,,,,https://www.goodchev.com/used-Renton-2015-Chevrolet-Silverado+3500+HD-LTZ-1GC4K0C89FF533418,/vehicles/180725B_1.jpg,,,,
2C4RC1FG2RR116795,2024,Chrysler,Pacifica,Touring,37235.0,31105,P59051,,,,,https://www.goodchev.com/used-Renton-2024-Chrysler-Pacifica-Touring-2C4RC1FG2RR116795,/vehicles/P59051_1.jpg,,,,
1C4SDJCT0RC185588,2024,Dodge,Durango,RT Plus,28385.0,41436,P59053,,,,,https://www.goodchev.com/used-Renton-2024-Dodge-Durango-RT+Plus-1C4SDJCT0RC185588,/vehicles/P59053_1.jpg,,,,
1V2HR2CA1SC518210,2025,Volkswagen,Atlas,20T SE wTechnology,26416.0,34895,P59052,,,,,https://www.goodchev.com/used-Renton-2025-Volkswagen-Atlas-20T+SE+wTechnology-1V2HR2CA1SC518210,/vehicles/P59052_1.jpg,,,,
WD3PG2EA0H3235767,2017,Mercedes Benz,Metris Cargo Van, ,128474.0,16952,250424A,,,,,https://www.goodchev.com/used-Renton-2017-Mercedes+Benz-Metris+Cargo+Van-+-WD3PG2EA0H3235767,/vehicles/250424A_1.jpg,,,,
KL77LJEP9SC121318,2025,Chevrolet,Trax,2RS,4252.0,26663,250094,,,,,https://www.goodchev.com/used-Renton-2025-Chevrolet-Trax-2RS-KL77LJEP9SC121318,/vehicles/250094_1.jpg,,,,
2HGFE1E55SH473897,2025,Honda,Civic Si, ,13303.0,32895,P59068,,,,,https://www.goodchev.com/used-Renton-2025-Honda-Civic+Si-+-2HGFE1E55SH473897,/vehicles/P59068_1.jpg,,,,
5YJXCDE22KF160957,2019,Tesla,Model X,Long Range AWD,69615.0,34785,P59069,,,,,https://www.goodchev.com/used-Renton-2019-Tesla-Model+X-Long+Range+AWD-5YJXCDE22KF160957,/vehicles/P59069_1.jpg,,,,
1FTEW1EG9JKF80399,2018,Ford,F 150,XLT,75721.0,26995,250294A,,,,,https://www.goodchev.com/used-Renton-2018-Ford-F+150-XLT-1FTEW1EG9JKF80399,/vehicles/250294A_1.jpg,,,,
JM3KFBCM5J0325219,2018, ,Mazda CX 5,Touring,118024.0,15995,240113A,,,,,https://www.goodchev.com/used-Renton-2018-+-Mazda+CX+5-Touring-JM3KFBCM5J0325219,/vehicles/240113A_1.jpg,,,,
1FMCU9GD1JUB14836,2018,Ford,Escape,SE,115211.0,11995,P59081,,,,,https://www.goodchev.com/used-Renton-2018-Ford-Escape-SE-1FMCU9GD1JUB14836,/vehicles/P59081_1.jpg,,,,
1FTFW1CT8DKF38735,2013,Ford,F 150,XL,125313.0,13995,P59082,,,,,https://www.goodchev.com/used-Renton-2013-Ford-F+150-XL-1FTFW1CT8DKF38735,/vehicles/P59082_1.jpg,,,,
5UXUJ5C56KLA93600,2019,BMW,X4,M40i,43854.0,34995,P59073,,,,,https://www.goodchev.com/used-Renton-2019-BMW-X4-M40i-5UXUJ5C56KLA93600,/vehicles/P59073_1.jpg,,,,
5XYP6DGC4RG489109,2024,Kia,Telluride,S,38294.0,8237,P58883A,,,,,https://www.goodchev.com/used-Renton-2024-Kia-Telluride-S-5XYP6DGC4RG489109,/vehicles/P58883A_1.jpg,,,,
1G1YB2D45R5107107,2024,Chevrolet,Corvette Stingray,2LT,2085.0,71989,P59092,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Corvette+Stingray-2LT-1G1YB2D45R5107107,/vehicles/P59092_1.jpg,,,,
3VWGB7BU4LM069645,2020,Volkswagen,Jetta,SEL Premium,66182.0,17579,260077A,,,,,https://www.goodchev.com/used-Renton-2020-Volkswagen-Jetta-SEL+Premium-3VWGB7BU4LM069645,/vehicles/260077A_1.jpg,,,,
KL77LHE24RC041500,2024,Chevrolet,Trax,LT,50150.0,20995,P59095,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Trax-LT-KL77LHE24RC041500,/vehicles/P59095_1.jpg,,,,
5NMJBCDE6SH495491,2025,Hyundai,Tucson,SEL,19385.0,24995,P59098,,,,,https://www.goodchev.com/used-Renton-2025-Hyundai-Tucson-SEL-5NMJBCDE6SH495491,/vehicles/P59098_1.jpg,,,,
5YJ3E1EB9KF493664,2019,Tesla,Model 3,Long Range,55531.0,23995,P59100,,,,,https://www.goodchev.com/used-Renton-2019-Tesla-Model+3-Long+Range-5YJ3E1EB9KF493664,/vehicles/P59100_1.jpg,,,,
5FPYK3F58PB018640,2023,Honda,Ridgeline,RTL,24639.0,32105,250275C,,,,,https://www.goodchev.com/used-Renton-2023-Honda-Ridgeline-RTL-5FPYK3F58PB018640,/vehicles/250275C_1.jpg,,,,
JF1VBAB63R9801026,2024,Subaru,WRX, ,14717.0,28990,250502A,,,,,https://www.goodchev.com/used-Renton-2024-Subaru-WRX-+-JF1VBAB63R9801026,/vehicles/250502A_1.jpg,,,,
19UUB6F55MA000756,2021,Acura,TLX,wA Spec Package,49901.0,32892,P59027A,,,,,https://www.goodchev.com/used-Renton-2021-Acura-TLX-wA+Spec+Package-19UUB6F55MA000756,/vehicles/P59027A_1.jpg,,,,
1FD8W3HT3NEC92525,2022,Ford,Super Duty F 350 DRW,XL,72351.0,44595,P59103,,,,,https://www.goodchev.com/used-Renton-2022-Ford-Super+Duty+F+350+DRW-XL-1FD8W3HT3NEC92525,/vehicles/P59103_1.jpg,,,,
3C63RRHL7RG289450,2024,RAM,3500,Big Horn,51964.0,54995,P59104,,,,,https://www.goodchev.com/used-Renton-2024-RAM-3500-Big+Horn-3C63RRHL7RG289450,/vehicles/P59104_1.jpg,,,,
5YJ3E1EA2MF027391,2021,Tesla,Model 3,Standard Range Plus,25394.0,28911,P59105,,,,,https://www.goodchev.com/used-Renton-2021-Tesla-Model+3-Standard+Range+Plus-5YJ3E1EA2MF027391,/vehicles/P59105_1.jpg,,,,
3GNKDERL8SS136788,2025,Chevrolet,Blazer EV,SS,7504.0,49984,P59107,,,,,https://www.goodchev.com/used-Renton-2025-Chevrolet-Blazer+EV-SS-3GNKDERL8SS136788,/vehicles/P59107_1.jpg,/vehicles/P59107_2.jpg,,,
